"year","title","directors_0","genres_0","genres_1","running_time_secs","actors_0","actors_1","actors_2","directors_1","directors_2"
"2013","""The Hunger Games: Catching Fire""","""Francis Lawrence""","Action","Adventure","8760","""Jennifer Lawrence""","""Josh Hutcherson""","""Liam Hemsworth""","",""
"2013","""Thor: The Dark World""","""Alan Taylor""","Action","Adventure",,"""Chris Hemsworth""","""Natalie Portman""","""Tom Hiddleston""","",""
"2014","""X-Men: Days of Future Past""","""Bryan Singer""","Action","Adventure",,"""Jennifer Lawrence""","""Hugh Jackman""","""Michael Fassbender""","",""
"2014","""Transformers: Age of Extinction""","""Michael Bay""","Action","Adventure",,"""Mark Wahlberg""","""Nicola Peltz""","""Jack Reynor""","",""
"2014","Divergent","""Neil Burger""","Action","Adventure",,"""Shailene Woodley""","""Kate Winslet""","""Zoe Kravitz""","",""
"2014","""The Amazing Spider-Man 2""","""Marc Webb""","Action","Adventure",,"""Andrew Garfield""","""Emma Stone""","""Jamie Foxx""","",""
"2013","Oldboy","""Spike Lee""","Action","Drama",,"""Josh Brolin""","""Elizabeth Olsen""","""Samuel L. Jackson""","",""
"2014","RoboCop","""Jose Padilha""","Action","Crime",,"""Joel Kinnaman""","""Douglas Urbanski""","""Abbie Cornish""","",""
"2013","Carrie","""Kimberly Peirce""","Drama","Horror",,"""Chloe Grace Moretz""","""Julianne Moore""","""Judy Greer""","",""
"2014","""Captain America: The Winter Soldier""","""Anthony Russo""","Action","Adventure",,"""Chris Evans""","""Frank Grillo""","""Sebastian Stan""","""Joe Russo""",""
