"year","title","directors_0","genres_0","genres_1","rank","running_time_secs","actors_0","actors_1","actors_2","directors_1","directors_2","rating_filled"
"2013","""The Hunger Games: Catching Fire""","""Francis Lawrence""","Action","Adventure","4","8760","""Jennifer Lawrence""","""Josh Hutcherson""","""Liam Hemsworth""","","","6.7"
"2013","""Thor: The Dark World""","""Alan Taylor""","Action","Adventure","5",,"""Chris Hemsworth""","""Natalie Portman""","""Tom Hiddleston""","","","7.0"
"2014","""X-Men: Days of Future Past""","""Bryan Singer""","Action","Adventure","9",,"""Jennifer Lawrence""","""Hugh Jackman""","""Michael Fassbender""","","","6.7"
"2014","""Transformers: Age of Extinction""","""Michael Bay""","Action","Adventure","10",,"""Mark Wahlberg""","""Nicola Peltz""","""Jack Reynor""","","","7.1"
"2014","Divergent","""Neil Burger""","Action","Adventure","20",,"""Shailene Woodley""","""Kate Winslet""","""Zoe Kravitz""","","","7.1"
"2014","""The Amazing Spider-Man 2""","""Marc Webb""","Action","Adventure","23",,"""Andrew Garfield""","""Emma Stone""","""Jamie Foxx""","","","6.8"
"2013","Oldboy","""Spike Lee""","Action","Drama","26",,"""Josh Brolin""","""Elizabeth Olsen""","""Samuel L. Jackson""","","","6.7"
"2014","RoboCop","""Jose Padilha""","Action","Crime","30",,"""Joel Kinnaman""","""Douglas Urbanski""","""Abbie Cornish""","","","7.3"
"2013","Carrie","""Kimberly Peirce""","Drama","Horror","31",,"""Chloe Grace Moretz""","""Julianne Moore""","""Judy Greer""","","","7.2"
"2014","""Captain America: The Winter Soldier""","""Anthony Russo""","Action","Adventure","33",,"""Chris Evans""","""Frank Grillo""","""Sebastian Stan""","""Joe Russo""","","7.3"
