trade_date,ticker,high,low,open_value,close,volume,adj_close
2001-01-02,msft,22.50,21.44,,21.69,82413200,13.72
2001-01-02,bac,23.38,22.50,,23.38,7021200,13.94
2001-01-02,c,518.75,500.63,,505.00,1324690,311.74
2001-01-02,dis,28.05,27.25,,27.56,6545261,21.77
2001-01-03,aapl,0.30,0.26,,0.29,817073600,0.25
2001-01-03,amzn,17.88,13.56,,17.56,14680400,17.56
2001-01-03,ge,368.75,337.02,,367.79,5096754,205.51
2001-01-03,m,18.84,16.75,,18.84,6289000,11.62
2001-01-03,f,25.50,23.88,,25.13,11157800,13.77
2001-01-03,gs,115.50,98.88,,115.50,7355200,89.73
