VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
284096,Nishinoshima,22407,Confirmed Eruption,Historical Observations,,8/14/2021,8/14/2021,27.247,140.874
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,Historical Observations,,8/13/2021,8/19/2021,24.285,141.481
290260,Chirinkotan,22410,Confirmed Eruption,Historical Observations,,8/8/2021,8/19/2021,48.98,153.48
312030,Pavlof,22411,Confirmed Eruption,Historical Observations,,8/5/2021,8/19/2021,55.417,-161.894
284170,Pagan,22409,Confirmed Eruption,Historical Observations,,7/29/2021,7/29/2021,18.13,145.8
252120,Ulawun,22414,Confirmed Eruption,Historical Observations,,7/29/2021,8/3/2021,-5.05,151.33
264270,Sirung,22405,Confirmed Eruption,Historical Observations,,7/21/2021,7/21/2021,-8.508,124.13
357090,Copahue,22413,Confirmed Eruption,Historical Observations,,7/2/2021,8/19/2021,-37.856,-71.183
273070,Taal,22406,Confirmed Eruption,Historical Observations,,7/1/2021,7/9/2021,14.002,120.993
345020,Rincon de la Vieja,22412,Confirmed Eruption,Historical Observations,,6/28/2021,8/19/2021,10.83,-85.324
345070,Turrialba,22403,Confirmed Eruption,Historical Observations,,6/13/2021,7/23/2021,10.025,-83.767
261170,Kerinci,22400,Confirmed Eruption,Historical Observations,,5/31/2021,6/13/2021,-1.697,101.264
311120,Great Sitkin,22401,Confirmed Eruption,Historical Observations,,5/25/2021,8/19/2021,52.076,-176.13
344040,Telica,22402,Confirmed Eruption,Historical Observations,,5/22/2021,7/3/2021,12.606,-86.84
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,Historical Observations,,4/29/2021,4/29/2021,-7.2,109.879
263310,Tengger Caldera,22404,Confirmed Eruption,Historical Observations,,4/15/2021,8/19/2021,-7.942,112.95
233020,"Fournaise, Piton de la",22395,Confirmed Eruption,Historical Observations,,4/9/2021,5/24/2021,-21.244,55.708
371030,Krysuvik-Trolladyngja,22399,Confirmed Eruption,Historical Observations,,3/19/2021,8/19/2021,63.917,-22.067
312070,Veniaminof,22393,Confirmed Eruption,Historical Observations,,2/28/2021,4/5/2021,56.17,-159.38
311060,Semisopochnoi,22392,Confirmed Eruption,Historical Observations,,2/2/2021,8/19/2021,51.93,179.58
