zone_id,zone_name,borough
1,Newark Airport,EWR
60,Crotona Park East,Bronx
199,Rikers Island,Bronx
18,Bedford Park,Bronx
46,City Island,Bronx
241,Van Cortlandt Village,Bronx
51,Co-Op City,Bronx
254,Williamsbridge/Olinville,Bronx
3,Allerton/Pelham Gardens,Bronx
247,West Concourse,Bronx
242,Van Nest/Morris Park,Bronx
119,Highbridge,Bronx
248,West Farms/Bronx River,Bronx
167,Morrisania/Melrose,Bronx
58,Country Club,Bronx
147,Longwood,Bronx
250,Westchester Village/Unionport,Bronx
182,Parkchester,Bronx
200,Riverdale/North Riverdale/Fieldston,Bronx
259,Woodlawn/Wakefield,Bronx
168,Mott Haven/Port Morris,Bronx
212,Soundview/Bruckner,Bronx
59,Crotona Park,Bronx
169,Mount Hope,Bronx
183,Pelham Bay,Bronx
235,University Heights/Morris Heights,Bronx
126,Hunts Point,Bronx
47,Claremont/Bathgate,Bronx
220,Spuyten Duyvil/Kingsbridge,Bronx
32,Bronxdale,Bronx
78,East Tremont,Bronx
240,Van Cortlandt Park,Bronx
20,Belmont,Bronx
185,Pelham Parkway,Bronx
94,Fordham South,Bronx
208,Schuylerville/Edgewater Park,Bronx
31,Bronx Park,Bronx
81,Eastchester,Bronx
184,Pelham Bay Park,Bronx
159,Melrose South,Bronx
69,East Concourse/Concourse Village,Bronx
174,Norwood,Bronx
213,Soundview/Castle Hill,Bronx
136,Kingsbridge Heights,Bronx
223,Steinway,Queens
101,Glen Oaks,Queens
179,Old Astoria,Queens
260,Woodside,Queens
53,College Point,Queens
102,Glendale,Queens
175,Oakland Gardens,Queens
129,Jackson Heights,Queens
15,Bay Terrace/Fort Totten,Queens
132,JFK Airport,Queens
252,Whitestone,Queens
70,East Elmhurst,Queens
193,Queensbridge/Ravenswood,Queens
131,Jamaica Estates,Queens
139,Laurelton,Queens
9,Auburndale,Queens
95,Forest Hills,Queens
196,Rego Park,Queens
56,Corona,Queens
253,Willets Point,Queens
64,Douglaston,Queens
146,Long Island City/Queens Plaza,Queens
180,Ozone Park,Queens
