category,c
/Arts & Entertainment/Movies,58
/News/Politics,47
/Business & Industrial,34
/Sports/Individual Sports,25
/Sports/Individual Sports/Track & Field,25
/Sports/Team Sports/Soccer,24
/Law & Government/Government,21
/Sensitive Subjects,20
/Sports,16
/News,14
/News/Business News,11
/Law & Government/Legal,9
/Arts & Entertainment/Music & Audio/Rock Music,8
/Autos & Vehicles,7
/Arts & Entertainment/Music & Audio,7
/Books & Literature,7
/Hobbies & Leisure/Merit Prizes & Contests,7
/News/Sports News,7
/Travel/Air Travel,6
/Business & Industrial/Energy & Utilities/Oil & Gas,6
/People & Society,6
/Law & Government,5
/Health/Substance Abuse/Steroids & Performance-Enhancing Drugs,5
/Business & Industrial/Transportation & Logistics,4
/Internet & Telecom/Service Providers,4
/Arts & Entertainment/Music & Audio/Urban & Hip-Hop,4
/Food & Drink/Beverages/Alcoholic Beverages,3
/Arts & Entertainment,3
/Arts & Entertainment/Performing Arts/Acting & Theater,3
/Books & Literature/Children's Literature,3
/Arts & Entertainment/TV & Video/TV Shows & Programs,3
/People & Society/Social Issues & Advocacy/Work & Labor Issues,3
/Law & Government/Government/Visa & Immigration,3
/Law & Government/Public Safety/Crime & Justice,3
/People & Society/Social Issues & Advocacy,3
/Sports/Individual Sports/Golf,3
/Business & Industrial/Agriculture & Forestry,2
/Internet & Telecom,2
/Business & Industrial/Energy & Utilities,2
/Business & Industrial/Metals & Mining,2
/Autos & Vehicles/Motor Vehicles (By Type),2
/Finance,2
/Business & Industrial/Pharmaceuticals & Biotech,2
/People & Society/Religion & Belief,2
/Hobbies & Leisure,2
/Arts & Entertainment/Visual Art & Design,2
/Arts & Entertainment/Humor,2
/Arts & Entertainment/Events & Listings/Film Festivals,2
/Jobs & Education/Education,2
/Jobs & Education/Education/Colleges & Universities,2
/Jobs & Education/Education/Primary & Secondary Schooling (K-12),2
/Sports/Team Sports,2
/Food & Drink/Beverages,1
/Jobs & Education/Jobs,1
/Finance/Investing/Currencies & Foreign Exchange,1
/Arts & Entertainment/Entertainment Industry,1
/Jobs & Education/Jobs/Job Listings,1
/Finance/Investing,1
/Business & Industrial/Business Services,1
/Law & Government/Legal/Legal Services,1
/Shopping/Consumer Resources,1
/Autos & Vehicles/Vehicle Shopping,1
/Finance/Credit & Lending/Loans,1
/Finance/Insurance,1
/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles,1
/Internet & Telecom/Mobile & Wireless,1
/Finance/Banking,1
/Arts & Entertainment/Performing Arts,1
/Arts & Entertainment/Performing Arts/Dance,1
/Arts & Entertainment/Music & Audio/Classical Music,1
/Travel/Tourist Destinations,1
/Arts & Entertainment/Celebrities & Entertainment News,1
/Arts & Entertainment/Entertainment Industry/Film & TV Industry,1
/Arts & Entertainment/Music & Audio/Music Streams & Downloads,1
/Arts & Entertainment/Music & Audio/World Music,1
/Arts & Entertainment/Music & Audio/Dance & Electronic Music,1
/Arts & Entertainment/Music & Audio/Pop Music,1
/Health/Reproductive Health,1
/Games/Gambling,1
/Finance/Financial Planning & Management/Retirement & Pension,1
/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,1
/Health/Health Conditions/Neurological Conditions,1
/People & Society/Social Issues & Advocacy/Green Living & Environmental Issues,1
/Finance/Accounting & Auditing/Tax Preparation & Planning,1
/People & Society/Family & Relationships/Family,1
/Autos & Vehicles/Vehicle Codes & Driving Laws,1
/Health/Medical Facilities & Services,1
/Sports/Team Sports/Baseball,1
/Sports/Individual Sports/Racquet Sports,1
/Health/Health Conditions,1
/Sports/Team Sports/Basketball,1
