article_text,category,confidence
"b'BMW to recall faulty diesel cars\n\nBMW is to recall all cars equipped with a faulty diesel fuel-injection pump supplied by parts maker Robert Bosch.\n\nThe faulty part does not represent a safety risk and the recall only affects pumps made in December and January. BMW said that it was too early to say how many cars were affected or how much the recall would cost. The German company is to extend a planned production break at one of its plants due to the faulty Bosch part. The Dingolfing site will now be closed all next week instead of for just two days. The additional three-day stoppage will mean a production loss of up to 3,600 vehicles, BMW said, adding that it was confident it could make up the numbers later.\n\nBosch has stopped production of the part but expects to restart by 2 February. The faulty component does not represent a safety risk but causes the motor to stall after a significant amount of mileage. When asked if BMW would be seeking compensation from Bosch, the carmaker\'s chief executive Helmut Panke said: ""we will first solve the problem before talking about who will pay"". Audi and Mercedes Benz were also supplied with the defective diesel fuel-injection pumps but neither of them have to recall any vehicles. A spokesman for DaimlerChrysler, parent company of Mercedes Benz, said it will however have to halt some production. It is to close the Mercedes factory in Sindelfingen on Monday and Tuesday. Audi said it had been hit by production bottlenecks, due to a shortage of unaffected Bosch parts.\n'",/Autos & Vehicles/Vehicle Shopping,0.51999998092651367
"b""2004: An Irish Athletics Year\n\n2004 won't be remembered as one of Irish athletics' great years.\n\nThe year began with that optimism which invariably and unaccountably, seems to herald an upcoming Olympiad. But come late August, a few hot days in the magnificent stadium in Athens told us of the true strength of Irish athletics - or to be more accurate, the lack of it. Sonia O'Sullivan's Olympic farewell apart, there was little to stir the emotions of Irish athletics watchers. But after the disastrous build-up to the games, we shouldn't have been surprised. At the start of the year, an O'Sullivan had been earmarked as Ireland's best medal prospect but as it turned out, walker Gillian never even made it to the start line because of injury. Less than a week before the Olympics, the sport was rocked by news that 10,000m hope Cathal Lombard had tested for the banned substance EPO. Lombard's shattering of Mark Carroll's national 10,000m record in April had already set tongues wagging but even the most cynical of observers, were surprised when he was rumbled after an Irish Sports Council sting operation. The Corkman quickly held his hands up in admission and was promptly handed a two-year ban from the sport.\n\nBack at pre-Olympic ranch in Greece, it must have seemed that things couldn't have got any worse but they very nearly did with walker Jamie Costin lucky to escape with his life after being involved in a car crash near Athens. Once the track and field action began in Athens, a familiar pattern of underachievement emerged although Alistair Cragg's performance in being the only athlete from a European nation to qualify for the 5,000m final did offer hope for the future. Our beloved Sonia scraped into the women's 5K final as a fastest loser and for a couple of days, the country attempted to delude itself into believing that she might be in the medal shake-up. As it happened, she went out the back door early in the final although there was nothing undignified about the way that she insisted on finishing the race over a minute behind winner Meseret Defar. It later transpired that Sonia had been suffering from a stomach bug in the 48 hours before the final although typically, the Cobhwoman played down the effects of the illness. Amazingly, she was back in action a couple of weeks later when beating a world-class field at the Flora Lite 5K road race in London and while her major championship days may be over, it's unlikely that we have seen the last of her in competition. At least Sonia managed to make it to Athens. At the start of the year, several Northern Ireland athletes had genuine hopes of qualifying for the Games but come August, an out-of-form and injured Paul Brizzel was the lone standard bearer for the province. The Ballymena man gave it a lash but his achilles problem, and a bad lane draw, meant a time of 21.00 and an early exit.\n\nJames McIlroy, Gareth Turnbull, Zoe Brown and Paul McKee all had to be content with watching the Athens action on their television screens. 800m hope McIlroy never got near his best during the summer and a fourth place in the British trials effectively ended his hopes of making the plane. The injury-plagued Turnbull gamely travelled round Europe in search of the 1500m qualifying mark but 3:39 was the best he could achieve, after missing several months training during the previous winter. A lingering hamstring probem and a virus wrecked McKee's Athens ambitions and both he and Turnbull deserve a slice of better fortune in 2005. Pole vaulter Brown had hoped for a vote of confidence from the British selectors after she had achieved the Athens B standard but the call never came. As the summer ended, stalwarts Catherina McKiernan and Dermot Donnelly hung up their competitive spikes. McKiernan had to candidly acknowledge that time had crept up on her after several injury-ravaged years. Donnelly and his Annadale Striders team-mates later suffered tragedy when their friend and clubman Andy Campbell was found dead at his home on 18 December. A large turnout of athletics-loving folk turned out in west Belfast to offer their respects to the Campbell family and Andy's many friends. As only death can, it put the year's athletics happenings in a sharp perspective.\n""",/Sports/Team Sports/Baseball,0.57999998331069946
"b""Rank 'set to sell off film unit'\n\nLeisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.\n\nRank, formerly famous for the Carry On series, will expose the shake-up at the announcement of its results on Friday, the Sunday Telegraph reported. Advisors Goldman Sachs are understood to have valued its demerged Deluxe Film unit at \xc2\xa3300m, the report added. Speculation of a possible shake-up has mounted since Rank announced a study into a possible demerger in September. Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios. The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios.\n\nRank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success. It also owns Deluxe Media, which makes and distributes DVDs and videos. However, that business is seen as less successful. Last year it made profits of \xc2\xa321.5m on a turnover of \xc2\xa3392.1m and experts suggest its success in moving to DVDs from VHS video could make it an attractive target for a private equity buyer. A spokesman for the firm refused to comment on the reports, but said any results from the demerger study were likely to be set out when it unveiled its results on Friday. Analysts predict the firm is likely to report a slight drop in annual pre-tax profits to \xc2\xa3170m from \xc2\xa3194m last year. Formed in the 1940s the firm was a leading UK film producer and cinema owner for many years. It has now diversified into a range of other leisure activities - mainly in the UK - including hotels, roadside service areas and holiday centres. It now owns 34 Grosvenor casinos, the Mecca Bingo chain and more than 100 Hard Rock Cafes in 38 countries.\n""",/Arts & Entertainment/Entertainment Industry,0.5
"b'Downloads enter US singles chart\n\nDigital music downloads are being included in the main US singles chart for the first time.\n\nBillboard\'s Hot 100 chart now incorporates data from sales of music downloads, previously only assigned to a separate download chart. Green Day\'s Boulevard of Broken Dreams is currently number two in Billboard\'s pop chart, and tops its digital chart. Download sales are due to be incorporated into the UK singles chart later this year.\n\nDigital sales in the US are already used to compile Billboard\'s Hot Digital Sales chart. They will now be tallied with sales of physical singles and airplay information to make up its new Hot 100 chart. Its second new chart - the Pop 100 - also combines airplay, digital and physical sales but confines its airplay information to US radio stations which play chart music. In addition to Green Day, other artists in the current US digital sales top 10 include Kelly Clarkson, The Game and the Killers.\n\nSales of legally downloaded songs shot up more than tenfold in 2004, with 200 million track purchased online in the US and Europe in 12 months, the International Federation of the Phonographic Industry (IFPI) reported last month. In the UK sales of song downloads overtook those for physical singles for the first time at the end of last year. The last week of December 2004 saw download sales of 312,000 compared with 282,000 physical singles, according to the British Phonographic Industry. The UK\'s first official music download chart was launched last September, compiling the most popular tracks downloaded from legal UK sites - including iTunes, OD2, mycokemusic.com and Napster. Westlife\'s Flying Without Wings - a 1999 track reissued for the occasion - was the first number one of the UK download chart.\n\nA spokesman for the British Phonographic Industry (BPI) said the first combined UK download and sales chart was due to be compiled ""within the first half of this year"". ""Work is going on across the music business right now to make sure the new chart works to plan,"" he said. The BPI spokesman described the UK music download chart, compiled by the Official Charts Company, as having been ""a great success"" since its launch. ""It has provided a focus for the industry and has really driven interest in downloads among music fans,"" he said.\n'",/Arts & Entertainment/Music & Audio/Music Streams & Downloads,0.5
"b'Crisis \'ahead in social sciences\'\n\nA national body designed to tackle skills shortages in key subjects should be set up, a committee of MPs has said.\n\nThere was an ""absolute crisis"" in the recruitment of statisticians and other social science experts, the Commons science and technology committee added. ""Major problems"" are expected over the next 10 years as the social science workforce continues to age, it said. The committee was reporting on the work, strategy and spending plans of the Economic Social Research Council.\n\nThe council aims to promote and support strategic research for social science postgraduates and provide social scientists to meet the needs of the country. It also liaises with the government and industry over their social science needs. In its report on the council\'s work the committee said: ""We are deeply concerned by the skills shortages afflicting, in particular, the qualitative branches of social sciences. This mirrored previous concerns the committee had expressed on shortages in the fields of maths and chemistry, it said. ""It is hard to see how significant progress towards rectifying these shortages can be made through the deployment of Economic and Social Research Council\'s limited resources. ""If the government is serious about addressing skills shortages in key subjects it needs to find a more effective mechanism to achieve this."" A national ""strategic capabilities fund"" to address shortages in key areas should be set up in response, the committee added.\n'",/People & Society,0.5
"b'Greek pair set for hearing\n\nKostas Kenteris and Katerina Thanou will fight the provisional two-year bans imposed on them by the IAAF at an independent tribunal this weekend.\n\nAthletics\' ruling body took action against the pair for failing to take drugs tests before the Athens Olympics. An independent tribunal of the Greek Track and Field Federation will meet to decide whether to ratify the sanction. The sprint duo face charges of failing to give information on their location and refusing to submit to a drugs test. Kenteris\' lawyer Gregory Ioannidis told BBC Sport: ""We refute both charges as unsubstantiated and illogical. ""There have been certain breaches in the correct application of the rules on behalf of the sporting authorities and their officials, and these procedural breaches have also violated my client\'s rights. ""There is also evidence that proves the fact that my client has been persecuted."" Ioannidis, who is a law lecturer at the University of Buckingham, added: ""One of the important rights and foundations of law and justice - that the accused should be presumed innocent unless proved otherwise - has been tarnished."" The panel will also decide on the two-year ban imposed on the athletes\' controversial coach Christos Tzekos by the IAAF. Kenteris, the 2000 Olympic 200m champion, and Thanou, the women\'s 100m silver medallist from the same Games in Sydney, quit the Olympics on 18 August after failing to give samples on the eve of the opening ceremony.\n\nTesters could not find them at the Olympic village and the duo were later admitted to hospital after claiming to have been involved in a motorcycle accident. They also missed tests in Tel Aviv, Chicago and Athens before the Games. In imposing two-year suspensions on the duo on 22 December, the IAAF described their explanations for missing the tests as ""unacceptable"". Whatever the findings of the independent tribunal, all parties will have the right to appeal to the Court of Arbitration for Sport. The tribunal hearing will take place at the Hellenic Olympic Committee building. It will start at 1200 GMT on Saturday and is expected to finish early next week. The tribunal panel will consist of five members - president Konstantinos Panagopoulos and Panagiotis Dimakos, Haralabos Hrisanthakis, Stilianos Perakis and Ioannis Karmis. Kenteris and Thanou also face criminal charges in Greece for allegedly faking the motorcycle accident. Eight criminal charges have been laid against the sprinters as well as Tzekos, an eyewitness to the accident and hospital officials. But there has been speculation that the charges could be dropped.\n'",/Sports/Individual Sports/Track & Field,0.5
"b'Mixed signals from French economy\n\nThe French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government\'s hopes.\n\nAccording to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast. If confirmed, that would be the best quarterly showing since early 2002. It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted.\n\nDespite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy. The government is reiterating a 2.5% target for 2005, while the European Central Bank is making positive noises for the 12-nation eurozone as a whole. Also on Friday, France\'s industrial output for December was released, showing 0.7% growth. ""The numbers are good,"" said David Naude, economist at Deutsche Bank. ""They send a positive signal of a rebound in output... and open the way for a continuation in that trend into the New Year."" Service sector activity improved in January, hitting a seven-month high. But unemployment remains high at about 10%.\n'",/News/Business News,0.75
"b'Burren awarded Egyptian contracts\n\nBritish energy firm Burren Energy has been awarded two potentially lucrative oil exploration contracts in Egypt.\n\nThe company successfully bid for the two contracts, granted by government owned oil firms, covering onshore and offshore areas in the Gulf of Suez. Burren Energy already has a presence in Egypt, having been awarded an exploration contract last year. The firm, which floated in 2003, recently announced a deal to buy 26% of Indian firm Hindustan Oil Exploration. The \xc2\xa313.8m deal gives Burren Energy access to the Indian oil and gas industry. This latest contract expands Burren Energy\'s global exploration and production portfolio - it also holds contracts in Turkmenistan and the Republic of Congo. ""These assets significantly increase our exploration portfolio in Egypt and we continue to investigate further opportunities in this region,"" said chief executive Finian O\'Sullivan.\n'",/Business & Industrial/Energy & Utilities/Oil & Gas,0.75
"b'Glasgow hosts tsunami benefit gig\n\nThe top names in Scottish music are taking part in a benefit concert in aid of the victims of the Asian tsunami.\n\nAll 10,000 tickets for Saturday\'s concert, featuring Franz Ferdinand, Belle and Sebastian and Travis, at Glasgow\'s SECC sold out in 36 hours. Mull Historical Society, Deacon Blue, Idlewild, Texas, Mogwai and Teenage Fanclub are among the other acts performing at the concert. Organisers hope to raise at least \xc2\xa3250,000 from the show.\n\nIt follows a Cardiff gig starring Eric Clapton, Keane and Jools Holland, which raised more than \xc2\xa31.25m. And it is taking place on the same night as a tsunami benefit show in Bristol, which will see Massive Attack and Portishead share a stage for the first time. Colin MacIntyre, of Mull Historical Society, was playing another gig on the same day but said he was determined to make the Glasgow benefit. He said: ""I think we were all affected by seeing the reports coming from the Far East. ""We all know somebody who was there, but more than that it was that we had never seen a wave of destruction, a natural disaster, like this in my generation. ""I\'m lucky as an artist to be able to perform at something like this.""\n'",/Arts & Entertainment/Music & Audio/Rock Music,0.75
"b'Campbell: E-mail row \'silly fuss\'\n\nEx-No 10 media chief Alastair Campbell is at the centre of a new political row over an e-mail containing a four-letter outburst aimed at BBC journalists.\n\nMr Campbell sent the missive by mistake to BBC2\'s Newsnight after it sought to question his role in Labour\'s controversial poster campaign. He later contacted the show saying the original e-mail had been sent in error and that it was all a ""silly fuss"". Mr Campbell has recently re-joined Labour\'s election campaign.\n\nThe e-mail was revealed the day after Peter Mandelson, former Labour minister and now a European Commissioner, warned the BBC to steer away from ""demonising"" Mr Campbell. Mr Campbell messaged Newsnight after the programme investigated claims that Labour\'s advertising agency TBWA was blaming him for controversy over its campaign posters. The images, including one of flying pigs and another of what critics claim depicted Tory leader Michael Howard as Fagin, prompted accusations of anti-Semitism, claims denied by Labour.\n\nMr Campbell\'s e-mail, which was apparently intended for a party official, suggested they should get Trevor Beattie, TBWA\'s boss, to issue a statement. In it, he said: ""Just spoke to trev. think tbwa shd give statement to newsnight saying party and agency work together well and nobody here has spoken to standard. Posters done by by tbwa according to political brief. Now fuck off and cover something important you twats!"" The e-mail was sent by mistake to Newsnight journalist Andrew McFadyen. Realising his error, Mr Campbell then e-mailed Mr McFadyen pointing out the mistake, but suggesting presenter Jeremy Paxman would have seen the funny side.\n\nHe said: ""Not very good at this e-mail Blackberry malarkey. Just looked at log of sent messages, have realised e-mail meant for colleagues at TBWA has gone to you. For the record, first three sentences of email spot on. No row between me and trevor. ""Posters done by them according to our brief. I dreamt up flying pigs. Pigs not great but okay in the circs of Tories promising tax cuts and spending rises with the same money. TBWA made production. ""Campbell swears shock. Final sentence of earlier e-mail probably a bit colourful and personal considering we have never actually met but I\'m sure you share the same sense of humour as your star presenter Mr P. ""Never known such a silly fuss since the last silly fuss but there we go. Must look forward not back.""\n\nLater the prime minister\'s spokesman was asked by journalists about his view on Mr Campbell\'s use of abusive language. The spokesman said: ""The person you are referring to is capable of speaking for himself and he no longer works in government."" Foreign Secretary Jack Straw said he had always had ""very good and polite relations"" with Mr Campbell, who he described as ""very talented"". But on the former spin doctor\'s use of language, Mr Straw said: ""I do know the odd journalist who has occasionally used the odd word that would probably be inappropriate in some circumstances. Maybe I mix with the wrong kind of journalists."" Liam Fox, Tory co-chairman, said the return of Mr Campbell was a sign of new ""sinister and underhand tactics"" by Labour.\n'",/News/Politics,0.75
