ID,lon,lat,blue_p50,green_p50,nir_p50,nira_p50,re1_p50,re2_p50,re3_p50,red_p50,swir1_p50,swir2_p50,VV_p50,VH_p50,TARGET
1,37.05905382,0.046038658,2731,3035,5418,5306.5,2958,4610.5,5099.5,2994,4108.5,3187.5,-6.861458,-12.162713,1
2,37.05950297,0.0472963,2921,3329,5834,6472,4144.5,5782,6302,3344,5269,4471.5,-8.082717,-14.619608,1
3,37.05752668,0.047655626,3828,4163,6420,7890.5,5408.5,6695.5,7302,4380,6905,6905.5,-7.767043,-14.880353,1
4,37.05797584,0.04792512,2556,2839,4822,5276.5,3201,4643,5069.5,2787,3832,2867.5,-7.773118,-15.587653,1
5,37.05635887,0.048553941,3790,4009,6476,6199.5,4285,5711,6079.5,3939,4892.5,3702.5,-6.1044674,-15.431915,1
6,37.0567182,0.049003099,2383,2673,5152,5321.5,2793.5,4548.5,5142.5,2537,3454.5,2350.5,-6.881674,-16.005356,1
7,37.05662836,0.049452256,2435,2736,5068,5164.5,3103.5,4612,5058,2571,3528.5,2426,-6.288107,-16.300524,1
8,37.05653853,0.049811583,2387,2701,4842,5132,3031,4516.5,4938.5,2608,3482,2402.5,-6.412862,-15.636621,1
9,37.05761651,0.049991246,3127,3342,5520,5758,3901,5310.5,5743,3282,4411,3333.5,-6.676276,-15.976784,1
10,37.05581988,0.05026074,3723,3993,6424,6430.5,4471,5923,6401,4022,4971.5,3724.5,-5.5965233,-15.228949,1
11,37.05635887,0.050530235,2458,2726,4456,4691,3100.5,4202.5,4545.5,2698,3593,2581,-5.665844,-15.4794,1
12,37.05734702,0.050889561,2946,3255,5610,5885,3844,5278,5720,3244,4443.5,3340.5,-6.172183,-16.850195,1
13,37.05492156,0.051159055,2530,2842,4778,5016,3091,4446.5,4816,2727,3607.5,2562,-6.3579793,-15.61635,1
14,37.05599954,0.05142855,2443,2701,4618,4794,3018,4270.5,4661,2599,3534.5,2457.5,-7.0705814,-14.553418,1
15,37.05770634,0.051877708,3172,3104,5152,5318,3192,4764,5279,2974,3637,2556,-5.706031,-14.911276,1
16,37.05465207,0.052147202,2558,2856,5082,5399.5,3265.5,4813.5,5308.5,2767,3861,2680,-7.0582952,-15.335327,1
17,37.05573005,0.052237034,2444,2682,4858,4941.5,3056.5,4337,4767.5,2617,3562.5,2492.5,-5.3001895,-16.046719,1
18,37.05581988,0.052416697,2420,2664,4798,4973.5,3072,4428.5,4831,2626,3549,2469,-5.4012847,-16.06036,1
19,37.05465207,0.053045518,2568,2838,3402,3439,3167,3299,3420,2964,3619,2798,-6.3932157,-17.496363,1
20,37.05635887,0.053674338,2718,2936,5088,5185,3217,4639.5,5031,2848,3782,2725.5,-6.1399617,-15.990103,1
21,37.0547419,0.054572654,3136,3356,5946,6006.5,3529.5,5265,5773.5,3246,4157,3008,-5.4515195,-15.295504,1
22,37.05537072,0.054842148,2892,3186,5236,5418,3411,4934,5308,3076,4016,2977,-6.1579437,-15.957491,1
23,37.05456224,0.055470969,3002,3247,5408,5540.5,3708,5033.5,5483,3199,4378.5,3231,-6.1170597,-15.553001,1
24,37.05581988,0.056009958,2951,3151,5302,5407.5,3660.5,4943.5,5321.5,3089,4086.5,3013.5,-6.351797,-13.747153,1
25,37.0547419,0.056459116,3065,3305,5474,5279.5,3660,4872,5297,3208,4165.5,3129.5,-6.4161763,-15.980146,1
26,37.05528089,0.057806589,2641,2901,4992,5164.5,3111,4659.5,5038.5,2796,3576,2565.5,-7.3774743,-16.362358,1
27,37.05519106,0.058794735,2435,2638,4826,4929,3079.5,4437,4849,2488,3539,2473,-7.7148895,-17.484571,1
28,37.20035881,0.021245156,2427,2679,4310,4728,3288.5,4295,4659,2796,3295,2549,-6.8453994,-14.511784,1
29,37.2026046,0.022772292,2786,3102,4676,4605,3507.5,4322.5,4554,3195,3261.5,2482,-6.5155272,-13.969196,1
30,37.19946049,0.023490945,2893,3021,4872,4985.5,3455.5,4535.5,4959,3060,3372.5,2595,-7.314333,-14.358185,1
31,37.20395207,0.023670608,2066.5,2304,3186,3480.5,2857.5,3326,3497.5,2507,2774,2061.5,-7.7824035,-15.150973,1
