ID,lon,lat,blue_p50,green_p50,nir_p50,nira_p50,re1_p50,re2_p50,re3_p50,red_p50,swir1_p50,swir2_p50,VV_p50,VH_p50,TARGET
1,-2.212505629,36.77824046,3954,4320,5908,5796,4710,5681,5865,4328,4336,3358,-6.512375,-12.282782,1
2,-3.190411647,36.78695412,4416,4924,5276,5113,5185,5178,5205,5196,4648,4018,-8.08754,-13.240647,1
3,-2.108840045,36.86331091,4936,5064,6020,6002,5368,5828,6000,5168,4597,3665,-6.5453095,-13.398935,1
4,-3.556834452,36.72712632,4068,4132,4964,4649,4284.5,4775,4767.5,4138,3800.5,3128.5,-7.527871,-15.248576,1
5,-3.558541251,36.73179756,4956,4940,5680,5544,5186,5579,5644,4928,4370,3587,-7.0167346,-11.715574,1
6,-2.413638421,36.84345815,5648,6072,6396,6282,6341,6422,6305,6112,5330,4471,-8.268652,-13.5970545,1
7,-2.424508036,36.85792102,5576,5848,6224,6135,6220,6213,6183,5892,5284,4415,-3.3472166,-14.2066765,1
8,-2.412111285,36.86402957,6078,6236,6608,6510.5,6927,6736.5,6667,6380,5622,4771,-8.437828,-15.143859,1
9,-3.997817425,36.74221801,5556,5592,6140,5864,5529,5790,5900,5660,4586,3790,-6.689297,-11.7858515,1
10,-3.985510505,36.74401465,2462,2754,4640,4483,3132,4172,4503,2744,3323,2588,-7.683779,-12.798293,1
11,-3.310157075,36.74158919,4006,4254,4528,4494.5,4550,4577,4468,4406,4167.5,3711,-8.984397,-13.95964,1
12,-3.31985888,36.74428414,4788,4888,5508,5578,5488,5540,5415,5132,4888,3931,-8.522022,-11.104513,1
13,-3.321745342,36.74652993,5502,5674,5780,5320.5,5466,5483.5,5403,5807.5,4936,4322.5,-9.384272,-13.287462,1
14,-3.317343597,36.74778757,3380,3634,5516,5713,3886,5363,5729,3540,3911,2944,-7.390589,-13.479737,1
