ID,Lon,Lat,blue_p50,green_p50,nir_p50,nira_p50,re1_p50,re2_p50,re3_p50,red_p50,swir1_p50,swir2_p50,VV_p50,VH_p50,TARGET
1,108.3074034,11.7068897,1772.5,2081.5,4393,4322,2542,3974.5,4315,1901.5,2929.5,2324,-5.506588,-16.57707,1
2,108.3632786,11.77803627,2178,2347,3427,3712,2658.5,3358,3628.5,2313,3122,2729.5,-7.79861,-14.007271,1
3,108.1939462,11.68946238,2927,3107,4365,4624.5,3378,4221.5,4508.5,3082,3921,3190,-7.6526155,-14.319975,1
4,108.2003243,11.69161834,2175,2312,3472.5,3613.5,2569.5,3332,3558.5,2244,3132.5,2610,-9.53075,-16.471949,1
5,108.203109,11.69431328,2125,2235,2612,2960,2548.5,2801,2908,2320,2915,2685.5,-9.73313,-18.106146,1
6,108.2284415,11.62684981,1765,1927,3814.5,4241,2324,3715.5,4094,1749.5,3099,2405,-6.5415063,-13.176038,1
7,108.2305975,11.62999391,1719,1946.5,4263.5,4462,2352,3767.5,4274.5,1849.5,3302.5,2664,-9.378881,-14.691337,1
8,108.3979536,12.05328007,2141,2214,3722.5,3814.5,2582.5,3353,3637.5,2153,3643.5,2673.5,-6.7055,-12.842115,1
9,108.3896891,12.05390889,2192,2386,3927.5,3943,2771,3583.5,3788,2395,3949.5,3085.5,-10.293946,-16.056376,1
10,108.396157,12.05417839,1833,1942,3666,3799.5,2342,3219.5,3542.5,1894.5,3364.5,2612.5,-7.3781686,-12.061927,1
11,108.3997503,12.05570552,1995.5,2181,3655.5,3866,2493,3460,3799,2068,3347,2526,-6.1152215,-13.554673,1
12,108.3984028,12.05741232,2237,2320,3825.5,3908.5,2548.5,3436.5,3804.5,2236,3410.5,2640.5,-7.019861,-13.732386,1
13,108.4018164,12.05858013,2118,2266,3814,3917,2673,3510,3859.5,2190,3721.5,3016,-7.9146905,-13.93539,1
