LAUS_code,state_fips,county_fips,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,01,001,"Autauga County, AL",2005,23887,22986,901,3.8
CN0100300000000,01,003,"Baldwin County, AL",2005,76608,73581,3027,4
CN0100500000000,01,005,"Barbour County, AL",2005,10730,10114,616,5.7
CN0100700000000,01,007,"Bibb County, AL",2005,8837,8444,393,4.4
CN0100900000000,01,009,"Blount County, AL",2005,26378,25434,944,3.6
CN0101100000000,01,011,"Bullock County, AL",2005,3734,3383,351,9.4
CN0101300000000,01,013,"Butler County, AL",2005,9113,8528,585,6.4
CN0101500000000,01,015,"Calhoun County, AL",2005,53812,51409,2403,4.5
CN0101700000000,01,017,"Chambers County, AL",2005,16308,15379,929,5.7
CN0101900000000,01,019,"Cherokee County, AL",2005,12012,11493,519,4.3
CN0102100000000,01,021,"Chilton County, AL",2005,19623,18859,764,3.9
CN0102300000000,01,023,"Choctaw County, AL",2005,5285,4940,345,6.5
CN0102500000000,01,025,"Clarke County, AL",2005,10098,9457,641,6.3
CN0102700000000,01,027,"Clay County, AL",2005,5934,5642,292,4.9
CN0102900000000,01,029,"Cleburne County, AL",2005,6642,6382,260,3.9
CN0103100000000,01,031,"Coffee County, AL",2005,20052,19277,775,3.9
CN0103300000000,01,033,"Colbert County, AL",2005,24892,23557,1335,5.4
CN0103500000000,01,035,"Conecuh County, AL",2005,5173,4855,318,6.1
CN0103700000000,01,037,"Coosa County, AL",2005,4879,4635,244,5
CN0103900000000,01,039,"Covington County, AL",2005,16888,16131,757,4.5
CN0104100000000,01,041,"Crenshaw County, AL",2005,6169,5869,300,4.9
CN0104300000000,01,043,"Cullman County, AL",2005,38393,36863,1530,4
CN0104500000000,01,045,"Dale County, AL",2005,20116,19227,889,4.4
CN0104700000000,01,047,"Dallas County, AL",2005,15956,14603,1353,8.5
CN0104900000000,01,049,"DeKalb County, AL",2005,31156,29582,1574,5.1
CN0105100000000,01,051,"Elmore County, AL",2005,34361,33084,1277,3.7
CN0105300000000,01,053,"Escambia County, AL",2005,14289,13500,789,5.5
CN0105500000000,01,055,"Etowah County, AL",2005,46638,44443,2195,4.7
CN0105700000000,01,057,"Fayette County, AL",2005,7865,7516,349,4.4
CN0105900000000,01,059,"Franklin County, AL",2005,13752,13030,722,5.3
CN0106100000000,01,061,"Geneva County, AL",2005,11598,11149,449,3.9
CN0106300000000,01,063,"Greene County, AL",2005,3447,3218,229,6.6
CN0106500000000,01,065,"Hale County, AL",2005,7033,6654,379,5.4
CN0106700000000,01,067,"Henry County, AL",2005,7449,7130,319,4.3
CN0106900000000,01,069,"Houston County, AL",2005,45983,44236,1747,3.8
CN0107100000000,01,071,"Jackson County, AL",2005,26705,25371,1334,5
CN0107300000000,01,073,"Jefferson County, AL",2005,316522,302586,13936,4.4
CN0107500000000,01,075,"Lamar County, AL",2005,6115,5775,340,5.6
CN0107700000000,01,077,"Lauderdale County, AL",2005,41949,39816,2133,5.1
CN0107900000000,01,079,"Lawrence County, AL",2005,15934,15053,881,5.5
CN0108100000000,01,081,"Lee County, AL",2005,63367,61025,2342,3.7
CN0108300000000,01,083,"Limestone County, AL",2005,35029,33486,1543,4.4
CN0108500000000,01,085,"Lowndes County, AL",2005,4937,4544,393,8
CN0108700000000,01,087,"Macon County, AL",2005,8680,8173,507,5.8
CN0108900000000,01,089,"Madison County, AL",2005,158361,152734,5627,3.6
CN0109100000000,01,091,"Marengo County, AL",2005,8580,8092,488,5.7
CN0109300000000,01,093,"Marion County, AL",2005,13500,12900,600,4.4
CN0109500000000,01,095,"Marshall County, AL",2005,41846,40225,1621,3.9
CN0109700000000,01,097,"Mobile County, AL",2005,179899,171056,8843,4.9
CN0109900000000,01,099,"Monroe County, AL",2005,9560,8976,584,6.1
CN0110100000000,01,101,"Montgomery County, AL",2005,104869,100113,4756,4.5
CN0110300000000,01,103,"Morgan County, AL",2005,55553,53069,2484,4.5
CN0110500000000,01,105,"Perry County, AL",2005,3526,3208,318,9
CN0110700000000,01,107,"Pickens County, AL",2005,7938,7510,428,5.4
CN0110900000000,01,109,"Pike County, AL",2005,14974,14369,605,4
CN0111100000000,01,111,"Randolph County, AL",2005,9794,9197,597,6.1
CN0111300000000,01,113,"Russell County, AL",2005,21440,20158,1282,6
CN0111500000000,01,115,"St. Clair County, AL",2005,33663,32335,1328,3.9
CN0111700000000,01,117,"Shelby County, AL",2005,94460,91578,2882,3.1
CN0111900000000,01,119,"Sumter County, AL",2005,4850,4501,349,7.2
CN0112100000000,01,121,"Talladega County, AL",2005,39578,37693,1885,4.8
CN0112300000000,01,123,"Tallapoosa County, AL",2005,18538,17709,829,4.5
CN0112500000000,01,125,"Tuscaloosa County, AL",2005,84590,81456,3134,3.7
CN0112700000000,01,127,"Walker County, AL",2005,29693,28391,1302,4.4
CN0112900000000,01,129,"Washington County, AL",2005,6868,6444,424,6.2
CN0113100000000,01,131,"Wilcox County, AL",2005,3615,3283,332,9.2
CN0113300000000,01,133,"Winston County, AL",2005,10338,9819,519,5
CN0201300000000,02,013,"Aleutians East Borough, AK",2005,1075,972,103,9.6
CN0201600000000,02,016,"Aleutians West Census Area, AK",2005,3139,2958,181,5.8
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2005,148840,140606,8234,5.5
CN0205000000000,02,050,"Bethel Census Area, AK",2005,7084,6172,912,12.9
CN0206000000000,02,060,"Bristol Bay Borough, AK",2005,969,912,57,5.9
CN0206800000000,02,068,"Denali Borough, AK",2005,1587,1483,104,6.6
CN0207000000000,02,070,"Dillingham Census Area, AK",2005,2060,1839,221,10.7
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2005,45190,42534,2656,5.9
CN0210000000000,02,100,"Haines Borough, AK",2005,1471,1338,133,9
CN0211000000000,02,110,"Juneau Borough/city, AK",2005,18326,17341,985,5.4
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2005,25294,23065,2229,8.8
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2005,7956,7417,539,6.8
CN0215000000000,02,150,"Kodiak Island Borough, AK",2005,6050,5546,504,8.3
CN0215800000000,02,158,"Kusilvak Census Area, AK",2005,2542,2008,534,21
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2005,1038,962,76,7.3
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2005,36688,33871,2817,7.7
CN0218000000000,02,180,"Nome Census Area, AK",2005,3976,3480,496,12.5
CN0218500000000,02,185,"North Slope Borough, AK",2005,3716,3379,337,9.1
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2005,3059,2694,365,11.9
CN0220100000000,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2005,2566,2228,338,13.2
CN0222000000000,02,220,"Sitka Borough/city, AK",2005,4738,4473,265,5.6
CN0223200000000,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2005,1845,1598,247,13.4
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2005,3307,2958,349,10.6
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2005,5259,4756,503,9.6
CN0228000000000,02,280,"Wrangell-Petersburg Census Area, AK",2005,2927,2630,297,10.1
CN0228200000000,02,282,"Yakutat Borough/city, AK",2005,320,286,34,10.6
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2005,3136,2767,369,11.8
CN0400100000000,04,001,"Apache County, AZ",2005,19906,17826,2080,10.4
CN0400300000000,04,003,"Cochise County, AZ",2005,55374,52724,2650,4.8
CN0400500000000,04,005,"Coconino County, AZ",2005,67390,64094,3296,4.9
CN0400700000000,04,007,"Gila County, AZ",2005,20517,19309,1208,5.9
CN0400900000000,04,009,"Graham County, AZ",2005,12172,11444,728,6
CN0401100000000,04,011,"Greenlee County, AZ",2005,3467,3300,167,4.8
CN0401200000000,04,012,"La Paz County, AZ",2005,7646,7130,516,6.7
CN0401300000000,04,013,"Maricopa County, AZ",2005,1842737,1768406,74331,4
CN0401500000000,04,015,"Mohave County, AZ",2005,88439,84670,3769,4.3
CN0401700000000,04,017,"Navajo County, AZ",2005,37402,34402,3000,8
CN0401900000000,04,019,"Pima County, AZ",2005,438417,418851,19566,4.5
CN0402100000000,04,021,"Pinal County, AZ",2005,86792,81960,4832,5.6
CN0402300000000,04,023,"Santa Cruz County, AZ",2005,15930,14560,1370,8.6
CN0402500000000,04,025,"Yavapai County, AZ",2005,90782,86786,3996,4.4
CN0402700000000,04,027,"Yuma County, AZ",2005,75545,63556,11989,15.9
CN0500100000000,05,001,"Arkansas County, AR",2005,11222,10428,794,7.1
CN0500300000000,05,003,"Ashley County, AR",2005,9562,8763,799,8.4
CN0500500000000,05,005,"Baxter County, AR",2005,17061,16104,957,5.6
CN0500700000000,05,007,"Benton County, AR",2005,99292,96059,3233,3.3
CN0500900000000,05,009,"Boone County, AR",2005,16579,15728,851,5.1
CN0501100000000,05,011,"Bradley County, AR",2005,5458,5027,431,7.9
CN0501300000000,05,013,"Calhoun County, AR",2005,2662,2479,183,6.9
CN0501500000000,05,015,"Carroll County, AR",2005,13422,12809,613,4.6
CN0501700000000,05,017,"Chicot County, AR",2005,4849,4362,487,10
CN0501900000000,05,019,"Clark County, AR",2005,10953,10280,673,6.1
CN0502100000000,05,021,"Clay County, AR",2005,7030,6438,592,8.4
CN0502300000000,05,023,"Cleburne County, AR",2005,11529,10961,568,4.9
