sid,season,number,basin,subbasin,name,iso_time,nature,latitude,longitude,wmo_wind,wmo_pressure,wmo_agency,track_type,dist2land,landfall,iflag,usa_agency,usa_latitude,usa_longitude,usa_record,usa_status,usa_wind,usa_pressure,usa_sshs,usa_r34_ne,usa_r34_se,usa_r34_sw,usa_r34_nw,usa_r50_ne,usa_r50_se,usa_r50_sw,usa_r50_nw,usa_r64_ne,usa_r64_se,usa_r64_sw,usa_r64_nw,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_latitude,tokyo_longitude,tokyo_grade,tokyo_wind,tokyo_pressure,tokyo_r50_dir,tokyo_r50_longitude,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_latitude,cma_longitude,cma_cat,cma_wind,cma_pressure,hko_latitude,hko_longitude,hko_cat,hko_wind,hko_pressure,newdelhi_latitude,newdelhi_longitude,newdelhi_grade,newdelhi_wind,newdelhi_pressure,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_latitude,reunion_longitude,reunion_type,reunion_wind,reunion_pressure,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34_ne,reunion_r34_se,reunion_r34_sw,reunion_r34_nw,reunion_r50_ne,reunion_r50_se,reunion_r50_sw,reunion_r50_nw,reunion_r64_ne,reunion_r64_se,reunion_r64_sw,reunion_r64_nw,bom_latitude,bom_longitude,bom_type,bom_wind,bom_pressure,bom_tnum,bom_ci,bom_rmw,bom_r34_ne,bom_r34_se,bom_r34_sw,bom_r34_nw,bom_r50_ne,bom_r50_se,bom_r50_sw,bom_r50_nw,bom_r64_ne,bom_r64_se,bom_r64_sw,bom_r64_nw,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pressure_method,wellington_latitude,wellington_longitude,wellington_wind,wellington_pressure,nadi_latitude,nadi_longitude,nadi_cat,nadi_wind,nadi_pressure,ds824_latitude,ds824_longitude,ds824_stage,ds824_wind,ds824_pressure,td9636_latitude,td9636_longitude,td9636_stage,td9636_wind,td9636_pressure,td9635_latitude,td9635_longitude,td9635_wind,td9635_pressure,td9635_roci,neumann_latitude,neumann_longitude,neumann_class,neumann_wind,neumann_pressure,mlc_latitude,mlc_longitude,mlc_class,mlc_wind,mlc_pressure,usa_atcf_id,source_url,etl_timestamp
2022061S11111,2022,7,SI,WA,NOT_NAMED,3/3/2022 0:00:00,NR,-9.81218,112.107,,, ,PROVISIONAL,162,162,I_____________,tcvitals,-9.81218,112.107, , ,25,1004,-1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI172022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022048S14068,2022,6,SI,MM,EMNATI,2/23/2022 0:00:00,NR,-22.6952,47.6089,,, ,PROVISIONAL,0,0,I_____________,tcvitals,-22.6952,47.6089, , ,67,976,1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI132022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023058S13171,2023,9,SP,MM,JUDY,3/3/2023 12:00:00,NR,-26.5994,182.615,,, ,PROVISIONAL,1031,1031,I_____________,tcvightals,-26.5994,-177.385, , ,57,980,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SP152023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023196N17119,2023,29,WP,MM,TALIM,7/14/2023 18:00:00,NR,17.6804,117.347,,, ,PROVISIONAL,308,308,I_____________,tcvitals,17.6804,117.347, , ,30,997,-1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,WP042023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023196N17119,2023,29,WP,MM,TALIM,7/17/2023 0:00:00,NR,20.1744,113.226,,, ,PROVISIONAL,189,143,I_____________,tcvitals,20.1744,113.226, , ,67,973,1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,WP042023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022099N11127,2022,15,WP,MM,MEGI,4/9/2022 12:00:00,NR,10.7893,126.617,,, ,PROVISIONAL,90,77,I_____________,tcvitals,10.7893,126.617, , ,27,1001,-1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,WP032022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022210S11095,2023,22,SI,WA,NOT_NAMED,7/29/2022 6:00:00,NR,-11.5371,94.6437,,, ,PROVISIONAL,1194,1194,I_____________,tcvitals,-11.5371,94.6437, , ,39,995,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI012022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023061S14162,2023,11,SP,MM,KEVIN,3/2/2023 12:00:00,NR,-15.8554,164.907,,, ,PROVISIONAL,190,159,I_____________,tcvitals,-15.8554,164.907, , ,65,981,1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SP162023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022342N09084,2022,51,NI,BB,MANDOUG,12/8/2022 6:00:00,NR,9.64135,83.4456,,, ,PROVISIONAL,257,251,I_____________,tcvitals,9.64135,83.4456, , ,45,991,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,BB062022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023210N14273,2023,33,EP,CP,DORA,8/12/2023 0:00:00,NR,15.6255,180.156,,, ,PROVISIONAL,2221,2221,I_____________,tcvitals,15.5806,-179.862, , ,89,971,2,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,EP052023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
