point,name,iso_time,dist2land,usa_wind,usa_pressure,usa_sshs,radius_34kt,radius_50kt
POINT(-54.4 12.8),MARIA,2017-09-17 06:00:00.000000 UTC,736,55,994,0,,
POINT(-55.0499 13.0573),MARIA,2017-09-17 09:00:00.000000 UTC,706,57,992,0,,
POINT(-55.7 13.3),MARIA,2017-09-17 12:00:00.000000 UTC,646,60,990,0,45.0,
POINT(-56.3727 13.4575),MARIA,2017-09-17 15:00:00.000000 UTC,590,62,988,0,51.25,
POINT(-57 13.6),MARIA,2017-09-17 18:00:00.000000 UTC,542,65,986,1,57.5,
POINT(-57.5225 13.7997),MARIA,2017-09-17 21:00:00.000000 UTC,515,70,982,1,61.25,
POINT(-58 14),MARIA,2017-09-18 00:00:00.000000 UTC,492,75,979,1,65.0,22.5
POINT(-58.5225 14.165),MARIA,2017-09-18 03:00:00.000000 UTC,476,77,978,1,65.0,23.75
POINT(-59 14.3),MARIA,2017-09-18 06:00:00.000000 UTC,457,80,977,1,65.0,25.0
POINT(-59.3727 14.3923),MARIA,2017-09-18 09:00:00.000000 UTC,449,90,972,2,77.5,27.5
POINT(-59.7 14.5),MARIA,2017-09-18 12:00:00.000000 UTC,448,100,967,3,90.0,30.0
POINT(-60.05 14.6849),MARIA,2017-09-18 15:00:00.000000 UTC,460,105,961,3,91.25,30.0
POINT(-60.4 14.9),MARIA,2017-09-18 18:00:00.000000 UTC,474,110,956,3,92.5,30.0
POINT(-60.7164 15.0895),MARIA,2017-09-18 21:00:00.000000 UTC,493,127,940,4,95.0,33.75
POINT(-61.1 15.3),MARIA,2017-09-19 00:00:00.000000 UTC,515,145,924,5,97.5,37.5
POINT(-61.3 15.4),MARIA,2017-09-19 01:15:00.000000 UTC,526,145,922,5,97.5,37.5
POINT(-61.5412 15.5205),MARIA,2017-09-19 03:00:00.000000 UTC,530,141,928,5,98.25,39.75
POINT(-61.9 15.7),MARIA,2017-09-19 06:00:00.000000 UTC,482,135,940,4,100.0,45.0
POINT(-62.2966 15.8909),MARIA,2017-09-19 09:00:00.000000 UTC,435,137,935,5,101.25,53.75
POINT(-62.7 16.1),MARIA,2017-09-19 12:00:00.000000 UTC,387,140,931,5,102.5,62.5
POINT(-63.1 16.3499),MARIA,2017-09-19 15:00:00.000000 UTC,340,142,925,5,102.5,66.25
POINT(-63.5 16.6),MARIA,2017-09-19 18:00:00.000000 UTC,285,145,920,5,102.5,70.0
POINT(-63.9002 16.7863),MARIA,2017-09-19 21:00:00.000000 UTC,238,147,914,5,107.5,71.25
POINT(-64.3 17),MARIA,2017-09-20 00:00:00.000000 UTC,192,150,909,5,112.5,72.5
POINT(-64.7 17.3),MARIA,2017-09-20 03:00:00.000000 UTC,138,150,908,5,112.5,72.5
POINT(-65.1 17.6),MARIA,2017-09-20 06:00:00.000000 UTC,85,140,913,5,112.5,72.5
POINT(-65.6616 17.8742),MARIA,2017-09-20 09:00:00.000000 UTC,15,136,917,4,112.5,72.5
POINT(-65.9 18),MARIA,2017-09-20 10:15:00.000000 UTC,0,135,920,4,112.5,72.5
POINT(-66.2 18.2),MARIA,2017-09-20 12:00:00.000000 UTC,0,115,935,4,112.5,72.5
POINT(-66.6405 18.4344),MARIA,2017-09-20 15:00:00.000000 UTC,0,105,947,3,112.5,70.0
POINT(-67 18.6),MARIA,2017-09-20 18:00:00.000000 UTC,22,95,959,2,112.5,67.5
POINT(-67.3151 18.7999),MARIA,2017-09-20 21:00:00.000000 UTC,44,95,958,2,113.75,67.5
POINT(-67.6 19),MARIA,2017-09-21 00:00:00.000000 UTC,74,95,958,2,115.0,67.5
POINT(-67.9001 19.1925),MARIA,2017-09-21 03:00:00.000000 UTC,79,97,958,3,115.0,67.5
POINT(-68.2 19.4),MARIA,2017-09-21 06:00:00.000000 UTC,79,100,959,3,115.0,67.5
POINT(-68.4926 19.6349),MARIA,2017-09-21 09:00:00.000000 UTC,84,100,959,3,115.0,71.25
POINT(-68.8 19.9),MARIA,2017-09-21 12:00:00.000000 UTC,85,100,959,3,115.0,75.0
POINT(-69.1573 20.2151),MARIA,2017-09-21 15:00:00.000000 UTC,101,102,959,3,118.75,76.25
POINT(-69.5 20.5),MARIA,2017-09-21 18:00:00.000000 UTC,113,105,960,3,122.5,77.5
POINT(-69.7653 20.6649),MARIA,2017-09-21 21:00:00.000000 UTC,124,107,956,3,121.25,77.5
POINT(-70 20.8),MARIA,2017-09-22 00:00:00.000000 UTC,128,110,953,3,120.0,77.5
POINT(-70.2576 20.97),MARIA,2017-09-22 03:00:00.000000 UTC,137,110,956,3,121.25,77.5
POINT(-70.5 21.2),MARIA,2017-09-22 06:00:00.000000 UTC,156,110,959,3,122.5,77.5
POINT(-70.715 21.5125),MARIA,2017-09-22 09:00:00.000000 UTC,190,110,958,3,122.5,78.75
POINT(-70.9 21.9),MARIA,2017-09-22 12:00:00.000000 UTC,230,110,958,3,122.5,80.0
POINT(-71.0502 22.3349),MARIA,2017-09-22 15:00:00.000000 UTC,231,110,958,3,122.5,73.75
